geoid,name,PctBachHigher,MedHHIncome,PctTravel60MinMore
05000US05001,"Arkansas County, AR",13.0,39883,3.6
05000US05003,"Ashley County, AR",13.1,38069,6.4
05000US05005,"Baxter County, AR",15.5,35209,3
05000US05007,"Benton County, AR",28.1,53515,2.4
05000US05009,"Boone County, AR",15.4,38364,5.5
05000US05011,"Bradley County, AR",11.3,32321,7.8
05000US05013,"Calhoun County, AR",6.8,31425,7.6
05000US05015,"Carroll County, AR",16.5,35558,6
05000US05017,"Chicot County, AR",14.2,25188,5
05000US05019,"Clark County, AR",21.6,32393,6.9
05000US05021,"Clay County, AR",9.9,32695,6.3
05000US05023,"Cleburne County, AR",16.9,39410,9.7
05000US05025,"Cleveland County, AR",14.3,38060,7.3
05000US05027,"Columbia County, AR",19.1,34895,5.2
05000US05029,"Conway County, AR",14.4,32625,6
05000US05031,"Craighead County, AR",23.7,41054,4.1
05000US05033,"Crawford County, AR",13.3,39981,2.4
05000US05035,"Crittenden County, AR",14.6,36521,3.9
05000US05037,"Cross County, AR",11.9,39665,10.6
05000US05039,"Dallas County, AR",10.2,30309,8.4
05000US05041,"Desha County, AR",12.8,29504,7.8
05000US05043,"Drew County, AR",20.8,32087,7.7
05000US05045,"Faulkner County, AR",26.2,49008,6
05000US05047,"Franklin County, AR",12.5,35918,6.8
05000US05049,"Fulton County, AR",10.3,35059,13.2
05000US05051,"Garland County, AR",20.4,38680,7
05000US05053,"Grant County, AR",17.0,49063,9.2
05000US05055,"Greene County, AR",12.5,38481,4.7
05000US05057,"Hempstead County, AR",14.9,31193,4
05000US05059,"Hot Spring County, AR",12.8,39652,10.2
05000US05061,"Howard County, AR",11.3,35236,5.1
05000US05063,"Independence County, AR",13.3,34374,3.6
05000US05065,"Izard County, AR",11.4,31011,6.4
05000US05067,"Jackson County, AR",9.5,31692,4.5
05000US05069,"Jefferson County, AR",17.6,37561,4.2
05000US05071,"Johnson County, AR",15.7,32198,5.6
05000US05073,"Lafayette County, AR",12.0,28633,5.7
05000US05075,"Lawrence County, AR",9.1,32205,6.1
05000US05077,"Lee County, AR",6.4,26098,7.4
05000US05079,"Lincoln County, AR",9.2,34107,9.2
05000US05081,"Little River County, AR",10.9,39042,5.7
05000US05083,"Logan County, AR",11.7,37237,13.7
05000US05085,"Lonoke County, AR",17.9,51499,4.7
05000US05087,"Madison County, AR",10.8,33481,12.1
05000US05089,"Marion County, AR",13.2,33497,4.7
05000US05091,"Miller County, AR",12.9,40314,5.1
05000US05093,"Mississippi County, AR",12.0,35651,4
05000US05095,"Monroe County, AR",12.9,28075,5.1
05000US05097,"Montgomery County, AR",11.0,33240,11.7
05000US05099,"Nevada County, AR",11.1,35578,7.7
05000US05101,"Newton County, AR",12.5,27790,18.1
